oglinda mirror
bratara bracellet
isteric insane
sange blood
mort dead
masina car
facultate college
frumos beautiful
criminal killer
cheie key
agenda phonebook
putere power
voce voice
cronometru stopwatch
greautate weight
arie area
sunet sound
iaurt yogurt
caine dog
pisica cat
baiat boy
fata girl
merg go
destul enough
inca yet
daca if
numai only
doar just
cioban shepherd
suferinta pain
depresie sadness
mergem go
farfurie plate
transpirat sweat
frig cold
pana until
aici here
sigur safe
ploaie rain
zapada snow
distrus broken
peste over
este is
in in
si and
oras city
scoala school
la at
sau or
eu I
el he
ea she
noi we
tu you
sunt am
sa to
film movie
citesc read
trec bypass
examen exam
examenul exam
sda SDA
noaptea night
cinema cinema
casa home
inteligent clever
baiatul boy
frumoasa beautiful
altul other
merge go
sta stay
nu no
vreau want
loc place
punct point
autoritate autority
lebada swan
viata life
tarziu late
fara without
razboi war
greu hard
creier brain
frica fear
sacrificiu sacrifice
bantuit haunted
nor cloud
mincinos liar
dominatie domination
febra fever
liniste silence
nimeni nobody
apel call
ciudat freaky
bani money
circ circus
otrava poison
parte piece
mult more
mereu always
cateodata sometimes
uneori often
cale way
tipat scream
amintiri memories
totul everything
vant wind
cutit knife
piele skin
maine tomorrow
cum how
adevarat true
puls pulse
hipnotizare hypnotize
inteles meaning
razboinic warrior
revolutie revolution
cimitir cemetery
ostil hostile
furtuna storm
furie fury
rapid fast
totul all
sau or
nimic nothing
stupefiat stupify
jurnal diary
voce whisper
dark întuneric
light lumina
aproape closer
departe away
inauntru inside
coma comatose
deja already
gata over
treaz awake
devreme soon
redefinit redefined
inger angel
drac devil
confuzie confusion
iad hell
arta art
cap head
timp time
periculor dangerous
cascada farewell
dorinta wish
inca still
lume land
pentru for
cuvant word
lume world
cineva someone
ultimul last
acasa home
camp field
stupid fool
vis dream
neatins untouched
ceai tee
iubita girlfriend
sfarsit end
undeva somewhere
nou new
fantoma ghost
despre about
disparut gone
